gene,p_value,cohens_d
ENSG00000116299,2.5956458551572883e-11,0.8173685416778349
ENSG00000117595,2.976436031281853e-20,1.014507775322133
ENSG00000119411,1.1949977102621288e-9,0.7611409769869788
ENSG00000119888,6.89197277068181e-31,1.2584816206909646
ENSG00000124143,0.049757224930439506,0.18083845634628323
ENSG00000124466,2.379455439814581e-6,0.5459844218535479
ENSG00000124664,0.0037313560003608727,0.45301842218974026
ENSG00000124839,6.097290604691807e-7,0.6412726092301398
ENSG00000124935,2.839462591701975e-10,0.7448099095044116
ENSG00000125637,4.361888408375147e-5,0.4505579119979685
ENSG00000125731,1.9234548030250402e-22,1.0399991381943003
ENSG00000125850,1.0158737191879022e-9,0.7016396512135576
ENSG00000126460,6.296741279947343e-10,0.6600343069999391
ENSG00000128422,4.591173628383724e-22,1.0899360986613196
ENSG00000129354,1.5378807980707915e-8,0.7479825466815663
ENSG00000129514,0.0028840713222052115,0.37474490755865647
ENSG00000129824,2.6151287208477184e-71,-20.9470009875638
ENSG00000130545,3.674916113325477e-10,0.7131403006994489
ENSG00000131002,2.4891904967132426e-71,-7.889284442969244
ENSG00000131037,2.6021151836006342e-11,0.7958114480700633
ENSG00000131746,2.0837596183692904e-29,1.2255848544059598
ENSG00000131941,2.6491220177406256e-9,0.717295707973977
ENSG00000132698,4.8311369660451564e-17,0.9614670713821409
ENSG00000132849,6.482840980291185e-16,0.8792015441891922
ENSG00000134184,0.002185981746799466,0.23298140130275172
ENSG00000134215,2.0289699582062543e-7,0.6045103353961095
ENSG00000134258,1.3892360803447534e-12,0.8575520964309354
ENSG00000134709,1.872109162308051e-12,0.7998930542071752
ENSG00000135373,1.4334032818214018e-35,1.4586826562627397
ENSG00000135480,1.799818424145078e-27,1.1608827651180251
ENSG00000137203,8.847281637654349e-9,0.7484017167909209
ENSG00000137673,6.545797602131568e-36,1.447271228260989
ENSG00000137699,9.84703502475084e-29,1.231570023097368
ENSG00000137747,1.5540076382922504e-16,0.8840972896734688
ENSG00000138771,7.436092592590946e-10,0.7541552183456987
ENSG00000139629,6.386449218385247e-4,0.37934084755067987
ENSG00000141738,1.6545035366237936e-15,0.8906364717967896
ENSG00000141750,1.0941448353972162e-31,1.2906942156386698
ENSG00000142273,3.9492665445358374e-8,0.7273233854541155
ENSG00000142675,3.6894661812819593e-13,0.8310647461982177
ENSG00000142765,2.371489470845435e-17,0.922652957515144
ENSG00000143061,3.165723952743546e-9,0.6811085947701684
ENSG00000143126,1.302925353639478e-9,0.6657145934487451
ENSG00000143217,1.7998711734689325e-12,0.8530365555650433
ENSG00000143365,7.455564556579942e-20,0.9829698992406539
ENSG00000143375,1.4947557999969443e-14,0.8788740168366177
ENSG00000146904,2.38206151720599e-19,0.973685032337173
ENSG00000147144,8.55017432253985e-18,0.9234771639694079
ENSG00000148735,6.565798060360158e-34,1.3900748178722235
ENSG00000149527,2.2134529960469664e-21,1.0445679376661843
ENSG00000151882,3.367988980301376e-31,1.3672353782861424
ENSG00000155066,6.169411705038211e-12,0.8230217346355901
ENSG00000156284,1.2032549140208798e-29,1.2260295505873144
ENSG00000157992,1.7407664587080184e-20,0.9982930801189923
ENSG00000162069,4.909361424916986e-11,0.7985086596419441
ENSG00000162078,5.462896243644734e-8,0.5822848934396901
ENSG00000162522,1.1555657389664604e-14,0.8514888940037109
ENSG00000163141,5.8956865838838715e-6,0.5394325462100952
ENSG00000163435,7.966062725396448e-12,0.8377663743673387
ENSG00000164855,4.6835407375348796e-08,0.5961891198494209
ENSG00000165105,2.7652913315431827e-4,0.45149383061322257
ENSG00000165215,9.660964068890983e-17,0.9366461697168414
ENSG00000165591,3.3316561179582172e-12,0.7724271792450176
ENSG00000165905,2.405723622210394e-28,1.2466582789880534
ENSG00000166145,1.6350535004062452e-15,0.9323647538282153
ENSG00000167183,3.374304750372851e-11,0.7797965930610024
ENSG00000167306,7.133761908472611e-10,0.6793701743248232
ENSG00000167642,5.603962756816062e-9,0.7716507528571628
ENSG00000167741,2.3865744780778304e-16,0.9112374233854119
ENSG00000167754,3.151009475725775e-28,1.2512403436020747
ENSG00000167767,1.0089918688681142e-18,0.9615018079319819
ENSG00000170421,5.553561216677758e-12,0.8365575027253304
ENSG00000171219,1.9810543627628668e-27,1.2072533854584993
ENSG00000171345,5.668458262440259e-8,0.7912037137003468
ENSG00000171346,5.37283899941346e-41,1.5961046965779904
ENSG00000174171,6.674989347807745e-28,1.250516033700262
ENSG00000174788,4.359139341147834e-4,0.35185143462230717
ENSG00000175707,4.0582643018246094e-14,0.8549336328710566
ENSG00000176842,1.563889195873788e-7,0.6356924074097964
ENSG00000179178,3.496546650198838e-18,0.9401849776892699
ENSG00000180914,4.5620898246996135e-37,1.516994192886699
ENSG00000181392,2.7347358604780973e-11,0.7629861389512707
ENSG00000182272,2.166848736923669e-13,0.7872256909283427
ENSG00000182580,4.324660384519007e-27,1.204051888638044
ENSG00000183248,3.2219114997821376e-5,0.4665726315954131
ENSG00000183421,2.4085889014990063e-29,1.2410408955614252
ENSG00000183793,0.12129581098589595,0.09151294533660667
ENSG00000184012,2.962688542621249e-27,1.195451921275657
ENSG00000184292,1.3755455935809837e-17,0.9671723594124938
ENSG00000184363,4.490281945797931e-20,0.9970634909688704
ENSG00000185101,4.7960463297731455e-9,0.6799333153294661
ENSG00000185290,3.2720452288578984e-4,0.36198915895312544
ENSG00000185479,2.226509104008933e-25,1.188538310915101
ENSG00000185499,4.980872917327106e-10,0.722994711535524
ENSG00000186081,1.4889720621368422e-25,1.1233145895616448
ENSG00000186847,2.4779137607243496e-17,0.9972290815795806
ENSG00000187017,7.743450281714363e-7,0.5188517462530674
ENSG00000187583,1.942619406283104e-13,0.7969067202975607
ENSG00000188933,0.48154400660982843,-0.059836381692634465
ENSG00000188959,8.251873971959081e-7,0.5205008162196103
ENSG00000189143,1.109225283327677e-18,0.9923312888086712
ENSG00000189334,1.2400460927382572e-27,1.21960412766358
ENSG00000196436,0.9130379735894382,-0.051034261106716224
ENSG00000197582,0.43896172029359776,0.13391367405638163
ENSG00000198692,2.3116952269963135e-71,-17.8792875283148
ENSG00000203697,3.2373308871510505e-11,0.7318558779089428
ENSG00000204618,2.5989606641487554e-23,1.0924596515103224
ENSG00000206075,7.982563496619254e-30,1.2861667957470673
ENSG00000210191,0.3955147134307289,-0.14809353129589362
ENSG00000213058,0.3434806930355738,-0.11739736293779121
ENSG00000214193,3.8876440570956186e-4,0.4025070892146568
ENSG00000215030,0.018086314886342797,0.1901428977554405
ENSG00000224114,0.6577378054758773,-0.07782359491724046
ENSG00000225950,9.32938549909537e-33,1.3628524872507923
ENSG00000226278,0.195398707735224,0.14756162254925903
ENSG00000228639,5.441244866955163e-35,1.464876992458847
ENSG00000229807,2.6140132566143732e-71,10.838835723388538
ENSG00000230937,9.274215675310527e-32,1.2943954120796486
ENSG00000234918,2.0157426046779938e-5,0.473613412812582
ENSG00000235687,5.689499025443832e-5,0.48995870748676595
ENSG00000238105,1.3705737629541778e-10,0.6811152725770765
ENSG00000240800,4.3395370862738286e-5,0.4991361965797928
ENSG00000248778,2.0942144363510116e-10,0.7122917986199109
ENSG00000249007,6.243550869517305e-7,0.5716688685844997
ENSG00000253313,6.824318036086768e-21,1.0342840515301097
ENSG00000254815,1.1532352245668973e-7,0.5727794604313096
ENSG00000255026,6.311408572273563e-10,0.6527580794067639
ENSG00000257084,2.3197956460792073e-14,0.8244345023063228
ENSG00000257671,1.7025100678440518e-25,1.1753096712763427
ENSG00000261183,3.115935163206512e-12,0.8167714163991504
ENSG00000267795,9.190193974080594e-11,0.7321380762207453
ENSG00000268416,1.9692404065482138e-11,0.6793821250414765
ENSG00000272398,9.704183522083799e-13,0.852185251868067
ENSG00000274067,0.0034837757500973477,-0.2897622297141845
ENSG00000274173,3.018590545353537e-8,0.6859952777497201
ENSG00000275234,1.8138232760037682e-8,0.6725836275896626
ENSG00000278978,1.2122829707718802e-23,1.0889082845346052
